Date,淨尖峰供電能力(MW),尖峰負載(MW),operating_reserve,備轉容量率(%),used_power,produced_power
1/1/2021,28487,25720,2767,10.76,523.529,2540.8
1/2/2021,28421,25485,2936,11.52,512.577,2516.6
1/3/2021,28513,25476,3037,11.92,503.869,2527.5
1/4/2021,32766,29734,3032,10.2,575.309,2936.9
1/5/2021,33117,30050,3067,10.21,594.675,2954.6
1/6/2021,33429,30327,3102,10.23,600.328,2978.2
1/7/2021,33602,30500,3102,10.17,606.076,3008.2
1/8/2021,33518,30412,3106,10.21,613.229,3015.8
1/9/2021,31269,28068,3201,11.41,575.161,2783.6
1/10/2021,30161,27255,2906,10.66,539.464,2696.1
1/11/2021,33772,30679,3093,10.08,604.025,3040.4
1/12/2021,33749,30633,3116,10.17,616.221,3041
1/13/2021,33108,29994,3114,10.38,607.526,2973.6
1/14/2021,33153,30021,3132,10.43,602.866,2968.4
1/15/2021,32864,29555,3309,11.2,597.242,2916.5
1/16/2021,30167,27121,3046,11.23,557.679,2677.8
1/17/2021,29746,26712,3034,11.36,528.213,2642.4
1/18/2021,33095,29938,3157,10.55,584.74,2965.7
1/19/2021,33148,29990,3158,10.53,597.83,2972.8
1/20/2021,33134,29984,3150,10.5,598.594,2963.7
1/21/2021,33359,30285,3074,10.15,597.981,2980
1/22/2021,33192,30095,3097,10.29,602.078,2969
1/23/2021,30421,27218,3203,11.77,558.962,2694.1
1/24/2021,28790,25717,3073,11.95,516.789,2543.6
1/25/2021,33063,29794,3269,10.97,574.456,2931.8
1/26/2021,33152,29933,3219,10.75,590.864,2950.7
1/27/2021,32652,29588,3064,10.36,586.732,2928.8
1/28/2021,32843,29557,3286,11.12,589.401,2923.1
1/29/2021,32472,29269,3203,10.94,584.993,2889.6
1/30/2021,30109,26662,3447,12.93,547.083,2640.1
1/31/2021,28364,25458,2906,11.41,512.148,2521.9
2/1/2021,31980,29042,2938,10.12,612.854,2872.4
2/2/2021,32772,29726,3046,10.24,632.629,2934.3
2/3/2021,32629,29623,3006,10.15,635.716,2930.4
2/4/2021,32787,29655,3132,10.56,634.779,2932.9
2/5/2021,32351,29291,3060,10.45,630.394,2890.8
2/6/2021,29743,26677,3066,11.49,587.73,2638.7
2/7/2021,28678,25915,2763,10.66,560.021,2565.7
2/8/2021,30962,27915,3047,10.92,598.661,2763.5
2/9/2021,28994,26114,2880,11.03,574.232,2580.4
2/10/2021,27257,24370,2887,11.85,531.759,2420.8
2/11/2021,24966,22133,2833,12.8,490.978,2196.6
2/12/2021,24905,21913,2992,13.65,471.451,2173.6
2/13/2021,24980,21956,3024,13.77,474.282,2173
2/14/2021,25351,22440,2911,12.97,481.953,2220.8
2/15/2021,26109,23465,2644,11.27,498.672,2317.5
2/16/2021,27716,24715,3001,12.15,522.77,2445.5
2/17/2021,30715,27891,2824,10.13,587.663,2757.9
2/18/2021,31440,28533,2907,10.19,608.157,2825.4
2/19/2021,31512,28627,2885,10.08,616.319,2836.8
2/20/2021,30367,27392,2975,10.86,604.703,2712.8
2/21/2021,28396,25257,3139,12.43,545.789,2504.7
2/22/2021,32355,29366,2989,10.18,610.755,2903.8
2/23/2021,33028,29919,3109,10.39,636.406,2951.64
2/24/2021,33080,30031,3049,10.15,641.492,2963.5
2/25/2021,33100,30072,3028,10.07,644.031,2979.5
2/26/2021,32780,29739,3041,10.23,639.773,2947.4
2/27/2021,29214,26456,2758,10.42,586.386,2619.1
2/28/2021,27689,25017,2672,10.68,544.449,2476.8
3/1/2021,29388,26556,2832,10.66,542.535,2624.4
3/2/2021,32637,29416,3221,10.95,601.716,2918.5
3/3/2021,32752,29677,3075,10.36,611.91,2939
3/4/2021,32873,29785,3088,10.37,615.269,2947.3
3/5/2021,33137,29869,3268,10.94,619.629,2954.4
3/6/2021,29717,26912,2805,10.42,575.051,2673.2
3/7/2021,28545,25794,2751,10.67,538.995,2555.2
3/8/2021,32882,29772,3110,10.45,601.004,2949.1
3/9/2021,32995,29947,3048,10.18,618.403,2967.7
3/10/2021,32961,29906,3055,10.22,618.905,2959.9
3/11/2021,33116,30040,3076,10.24,623.271,2982.6
3/12/2021,33200,29928,3272,10.93,620.398,2964.2
3/13/2021,29872,26797,3075,11.48,570.691,2647.3
3/14/2021,28574,25641,2933,11.44,534.267,2532.6
3/15/2021,33163,30088,3075,10.22,608.192,2983.1
3/16/2021,33771,30684,3087,10.06,629.737,3038.9
3/17/2021,33899,30716,3183,10.36,637.083,3042.7
3/18/2021,33938,30724,3214,10.46,637.635,3052.6
3/19/2021,34002,30865,3137,10.16,637.694,3051
3/20/2021,30585,27747,2838,10.23,594.39,2753.3
3/21/2021,28874,25688,3186,12.4,543.891,2539.48
3/22/2021,32832,29607,3225,10.89,603.579,2939.4
3/23/2021,33263,29726,3537,11.9,616.86,2959.9
3/24/2021,33109,30050,3059,10.18,624.077,2970.9
3/25/2021,33126,29854,3272,10.96,615.718,2956.92
3/26/2021,33208,29929,3279,10.96,622.187,2958.9
3/27/2021,30894,27693,3201,11.56,584.062,2729.6
3/28/2021,29783,26864,2919,10.87,558.169,2652.9
3/29/2021,34641,31460,3181,10.11,633.859,3114.8
3/30/2021,35318,32056,3262,10.18,660.998,3180.9
3/31/2021,35323,32094,3229,10.06,661.752,3174.29
4/1/2021,35475,32005,3470,10.84,650.226,3178.3
4/2/2021,32253,29093,3160,10.86,602.492,2882.2
4/3/2021,30687,27630,3057,11.06,574.891,2729.2
4/4/2021,28213,25218,2995,11.87,526.275,2482.2
4/5/2021,28935,26063,2872,11.02,522.209,2568.7
4/6/2021,33031,29830,3201,10.73,589.69,2953.4
4/7/2021,33132,29885,3247,10.86,606.846,2965.3
4/8/2021,33381,30083,3298,10.96,612.848,2984.2
4/9/2021,32687,29476,3211,10.89,603.552,2922.3
4/10/2021,29983,27017,2966,10.98,563.537,2670.9
4/11/2021,29471,26623,2848,10.7,539.403,2637.1
4/12/2021,34357,31152,3205,10.29,613.163,3087.1
4/13/2021,34818,31623,3195,10.1,638.087,3142.44
4/14/2021,33845,30610,3235,10.57,626.774,3044.5
4/15/2021,33900,30692,3208,10.45,625.298,3067.13
4/16/2021,33989,30669,3320,10.83,626.814,3062.44
4/17/2021,30434,27551,2883,10.46,579.673,2728.2
4/18/2021,28991,26128,2863,10.96,540.206,2588.8
4/19/2021,33851,30760,3091,10.05,609.256,3053
4/20/2021,34546,31332,3214,10.26,632.757,3110.4
4/21/2021,35186,31884,3302,10.36,642.691,3163.7
4/22/2021,36050,32765,3285,10.03,659.193,3243.8
4/23/2021,35469,32135,3334,10.38,650.513,3189.1
4/24/2021,31402,28413,2989,10.52,599.59,2854.6
4/25/2021,29452,26541,2911,10.97,554.277,2631.2
4/26/2021,34525,31328,3197,10.21,620.64,3109
4/27/2021,35241,31767,3474,10.94,641.143,3152.1
4/28/2021,34680,31511,3169,10.06,639.962,3130.5
4/29/2021,33519,30223,3296,10.91,624.266,2994.9
4/30/2021,31458,28400,3058,10.77,586.629,2811.1
5/1/2021,30174,27290,2884,10.57,515.174,2699.8
5/2/2021,30183,27208,2975,10.93,503.173,2691.2
5/3/2021,35000,31766,3234,10.18,579.137,3164.2
5/4/2021,36402,33042,3360,10.17,607.383,3303.5
5/5/2021,36254,32676,3578,10.95,602.001,3227.9
5/6/2021,36541,33076,3465,10.48,603.74,3285.1
5/7/2021,37704,34186,3518,10.29,622.483,3392.1
5/8/2021,33644,30339,3305,10.89,579.899,3058.5
5/9/2021,32192,29217,2975,10.18,548.574,2898.4
5/10/2021,38606,35087,3519,10.03,630.023,3476.2
5/11/2021,39604,35993,3611,10.03,652.9,3577.4
5/12/2021,40329,36660,3669,10.01,664.887,3632.5
5/13/2021,40387,36705,3682,10.03,650.691,3640.5
5/14/2021,40397,37053,3344,9.02,671.654,3685.9
5/15/2021,37464,33957,3507,10.33,636.582,3365.4
5/16/2021,35742,32436,3306,10.19,606.366,3222.5
5/17/2021,38879,37442,1437,3.84,666.284,3722.2
5/18/2021,40383,37288,3095,8.3,678.541,3700.7
5/19/2021,40454,37574,2880,7.66,681.476,3732.4
5/20/2021,40017,37447,2570,6.86,680.204,3715.2
5/21/2021,40561,37679,2882,7.65,682.909,3744.7
5/22/2021,37526,33873,3653,10.78,636.181,3350
5/23/2021,34358,32114,2244,6.99,603.129,3180
5/24/2021,40178,37893,2285,6.03,670.453,3762.8
5/25/2021,40090,37293,2797,7.5,667.467,3697.3
